"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 22 14:07:26 GMT 2025","Sat Mar 22 14:07:26 GMT 2025","80","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superuserCanNotCreateProjectWithNonLatinId","Project with non-latin id can not be created by Super user",""
"passed","Sat Mar 22 14:07:27 GMT 2025","Sat Mar 22 14:07:27 GMT 2025","210","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCanNotCreateProject","Project can not be created by user with certain role",""
"passed","Sat Mar 22 14:07:19 GMT 2025","Sat Mar 22 14:07:22 GMT 2025","2752","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCanCreateBuildType","User should be able to create build type",""
"passed","Sat Mar 22 14:07:26 GMT 2025","Sat Mar 22 14:07:26 GMT 2025","62","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superuserCanNotCreateProjectWithIdStartsWithNonLetter","Project with id starts with non letter can not be created by Super user",""
"passed","Sat Mar 22 14:07:26 GMT 2025","Sat Mar 22 14:07:26 GMT 2025","139","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanNotCreateProjectWithTheSameName","Project with the same name can not be created by Super user",""
"passed","Sat Mar 22 14:07:26 GMT 2025","Sat Mar 22 14:07:26 GMT 2025","94","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superuserCanNotCreateProjectWithIdStartsWithNonLetter","Project with id starts with non letter can not be created by Super user",""
"passed","Sat Mar 22 14:07:25 GMT 2025","Sat Mar 22 14:07:25 GMT 2025","59","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProjectWithValidId","Project with valid id can be created by Super user",""
"passed","Sat Mar 22 14:07:19 GMT 2025","Sat Mar 22 14:07:19 GMT 2025","5","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCanCreateBuildType","Project admin should be able to create build type for their project",""
"passed","Sat Mar 22 14:07:23 GMT 2025","Sat Mar 22 14:07:23 GMT 2025","373","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","adminCanCreateProject","Project with correct data can be created by Admin",""
"passed","Sat Mar 22 14:07:24 GMT 2025","Sat Mar 22 14:07:24 GMT 2025","118","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProject","Project with correct data can be created by Super user",""
"passed","Sat Mar 22 14:07:25 GMT 2025","Sat Mar 22 14:07:25 GMT 2025","79","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProjectWithValidId","Project with valid id can be created by Super user",""
"passed","Sat Mar 22 14:07:26 GMT 2025","Sat Mar 22 14:07:26 GMT 2025","63","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superuserCanNotCreateProjectWithEmptyName","Project with empty name can not be created by Super user",""
