"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 22 15:11:49 GMT 2025","Sat Mar 22 15:11:49 GMT 2025","70","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superuserCanNotCreateProjectWithEmptyIdAndName","Project with empty id and name can not be created by Super user",""
"passed","Sat Mar 22 15:11:48 GMT 2025","Sat Mar 22 15:11:48 GMT 2025","85","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProjectWithValidId","Project with valid id can be created by Super user",""
"passed","Sat Mar 22 15:11:49 GMT 2025","Sat Mar 22 15:11:49 GMT 2025","66","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superuserCanNotCreateProjectWithIdStartsWithNonLetter","Project with id starts with non letter can not be created by Super user",""
"passed","Sat Mar 22 15:11:49 GMT 2025","Sat Mar 22 15:11:49 GMT 2025","142","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanNotCreateProjectWithTheSameName","Project with the same name can not be created by Super user",""
"passed","Sat Mar 22 15:11:47 GMT 2025","Sat Mar 22 15:11:47 GMT 2025","106","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProject","Project with correct data can be created by Super user",""
"passed","Sat Mar 22 15:11:49 GMT 2025","Sat Mar 22 15:11:49 GMT 2025","138","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanNotCreateProjectWithTheSameId","Project with the same id can not be created by Super user",""
"passed","Sat Mar 22 15:11:48 GMT 2025","Sat Mar 22 15:11:48 GMT 2025","83","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProjectWithValidId","Project with valid id can be created by Super user",""
"passed","Sat Mar 22 15:11:50 GMT 2025","Sat Mar 22 15:11:50 GMT 2025","232","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCanNotCreateProject","Project can not be created by user with certain role",""
"passed","Sat Mar 22 15:11:47 GMT 2025","Sat Mar 22 15:11:47 GMT 2025","368","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","adminCanNotCreateProjectWithTheSameName","Project with the same name can not be created by Admin",""
"passed","Sat Mar 22 15:11:48 GMT 2025","Sat Mar 22 15:11:48 GMT 2025","99","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProjectWithValidId","Project with valid id can be created by Super user",""
"passed","Sat Mar 22 15:11:45 GMT 2025","Sat Mar 22 15:11:46 GMT 2025","620","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCanNotCreateTwoBuildTypesWithTheSameId","User should not be able to create two build types with the same id",""
"passed","Sat Mar 22 15:11:51 GMT 2025","Sat Mar 22 15:11:51 GMT 2025","216","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCanNotCreateProjectWithEmptyName","Project with empty name can not be created by Admin",""
"passed","Sat Mar 22 15:11:42 GMT 2025","Sat Mar 22 15:11:45 GMT 2025","2555","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCanCreateBuildType","User should be able to create build type",""
"passed","Sat Mar 22 15:11:50 GMT 2025","Sat Mar 22 15:11:50 GMT 2025","46","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCanCreateProjectWithEmtpySourceProject","User should not be able to create a copy with empty info about source project",""
"passed","Sat Mar 22 15:11:42 GMT 2025","Sat Mar 22 15:11:42 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCanNotCreateBuildTypeForAnotherUser","Project admin should not be able to create build type for not their project",""
"passed","Sat Mar 22 15:11:42 GMT 2025","Sat Mar 22 15:11:42 GMT 2025","11","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCanCreateBuildType","Project admin should be able to create build type for their project",""
"passed","Sat Mar 22 15:11:49 GMT 2025","Sat Mar 22 15:11:49 GMT 2025","58","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superuserCanNotCreateProjectWithEmptyName","Project with empty name can not be created by Super user",""
"passed","Sat Mar 22 15:11:46 GMT 2025","Sat Mar 22 15:11:47 GMT 2025","342","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","adminCanNotCreateProjectWithTheSameId","Project with the same id can not be created by Admin",""
"passed","Sat Mar 22 15:11:48 GMT 2025","Sat Mar 22 15:11:48 GMT 2025","85","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProjectWithValidName","Project with valid name can be created by Super user",""
"passed","Sat Mar 22 15:10:35 GMT 2025","Sat Mar 22 15:11:29 GMT 2025","53798","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Mar 22 15:11:48 GMT 2025","Sat Mar 22 15:11:48 GMT 2025","96","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","superAdminCanCreateProjectWithValidName","Project with valid name can be created by Super user",""
